command,name,help,description,arguments_json,has_help,has_description,mentioned_in_docs,example_in_code_block,safety_flags
corpus-generated-verify,corpus-generated-verify,verify generated corpus source identities,,"[{""choices"": null, ""default"": null, ""dest"": ""report"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": ""_path""}]",True,False,False,False,[]
corpus-verify,corpus-verify,verify source and output hashes in a ground-truth corpus,,"[{""choices"": null, ""default"": null, ""dest"": ""report"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": ""_path""}]",True,False,False,False,[]
counterexample,counterexample,canonical counterexample capability commands,Canonical counterexample commands implemented by the current capability subsystem.,"[{""choices"": null, ""default"": ""."", ""dest"": ""project"", ""help"": ""project root used by the capability implementation (default: current directory)"", ""nargs"": null, ""option_strings"": [""--project""], ""required"": false, ""type"": null}, {""choices"": null, ""default"": ""analyst"", ""dest"": ""actor"", ""help"": null, ""nargs"": null, ""option_strings"": [""--actor""], ""required"": false, ""type"": null}]",True,True,False,False,[]
counterexample add,add,add command,,"[{""choices"": null, ""default"": null, ""dest"": ""scope_kind"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": null}, {""choices"": null, ""default"": null, ""dest"": ""scope_id"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": null}, {""choices"": null, ""default"": null, ""dest"": ""payload"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": null}, {""choices"": null, ""default"": null, ""dest"": ""predicate_json"", ""help"": null, ""nargs"": null, ""option_strings"": [""--predicate-json""], ""required"": true, ""type"": null}, {""choices"": null, ""default"": null, ""dest"": ""provenance_json"", ""help"": null, ""nargs"": null, ""option_strings"": [""--provenance-json""], ""required"": false, ""type"": null}]",True,False,False,False,[]
counterexample list,list,list command,,[],True,False,False,False,[]
counterexample promote,promote,promote command,,"[{""choices"": null, ""default"": null, ""dest"": ""counterexample_id"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": null}, {""choices"": null, ""default"": null, ""dest"": ""destination"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": null}]",True,False,False,False,[]
counterexample show,show,show command,,"[{""choices"": null, ""default"": null, ""dest"": ""counterexample_id"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": null}]",True,False,False,False,[]
cpp-recover,cpp-recover,recover bounded C++ metadata and class relationships,,"[{""choices"": null, ""default"": null, ""dest"": ""pe"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": ""_path""}, {""choices"": null, ""default"": null, ""dest"": ""metadata_report"", ""help"": null, ""nargs"": null, ""option_strings"": [""--metadata-report""], ""required"": false, ""type"": ""_path""}, {""choices"": null, ""default"": [], ""dest"": ""object"", ""help"": null, ""nargs"": null, ""option_strings"": [""--object""], ""required"": false, ""type"": ""_path""}, {""choices"": null, ""default"": null, ""dest"": ""map"", ""help"": null, ""nargs"": null, ""option_strings"": [""--map""], ""required"": false, ""type"": ""_path""}, {""choices"": null, ""default"": null, ""dest"": ""report"", ""help"": null, ""nargs"": null, ""option_strings"": [""--report""], ""required"": false, ""type"": ""_path""}]",True,False,False,False,[]
crosscheck-ghidra,crosscheck-ghidra,compare toolkit disassembly with a Ghidra export,,"[{""choices"": null, ""default"": null, ""dest"": ""instructions_jsonl"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": ""_path""}, {""choices"": null, ""default"": null, ""dest"": ""code"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": ""_path""}, {""choices"": null, ""default"": null, ""dest"": ""base"", ""help"": null, ""nargs"": null, ""option_strings"": [""--base""], ""required"": true, ""type"": ""_int""}, {""choices"": [""x86"", ""x86_64""], ""default"": ""x86"", ""dest"": ""architecture"", ""help"": null, ""nargs"": null, ""option_strings"": [""--architecture""], ""required"": false, ""type"": null}, {""choices"": null, ""default"": null, ""dest"": ""report"", ""help"": null, ""nargs"": null, ""option_strings"": [""--report""], ""required"": false, ""type"": ""_path""}]",True,False,False,False,[]
db-constraint-accept,db-constraint-accept,accept a selected analysis constraint,,"[{""choices"": null, ""default"": null, ""dest"": ""database"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": ""_path""}, {""choices"": null, ""default"": null, ""dest"": ""constraint_id"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": ""int""}]",True,False,False,False,[]
db-constraint-add,db-constraint-add,add a provenance-bearing analysis constraint,,"[{""choices"": null, ""default"": null, ""dest"": ""database"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": ""_path""}, {""choices"": null, ""default"": null, ""dest"": ""subject"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": null}, {""choices"": null, ""default"": null, ""dest"": ""relation"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": null}, {""choices"": null, ""default"": null, ""dest"": ""object_value"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": null}, {""choices"": null, ""default"": null, ""dest"": ""provenance"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": null}, {""choices"": null, ""default"": null, ""dest"": ""evidence_id"", ""help"": null, ""nargs"": null, ""option_strings"": [""--evidence-id""], ""required"": false, ""type"": null}, {""choices"": null, ""default"": null, ""dest"": ""confidence"", ""help"": null, ""nargs"": null, ""option_strings"": [""--confidence""], ""required"": false, ""type"": ""float""}]",True,False,False,False,[]
db-constraint-conflicts,db-constraint-conflicts,list conflicting constraints for a subject and relation,,"[{""choices"": null, ""default"": null, ""dest"": ""database"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": ""_path""}, {""choices"": null, ""default"": null, ""dest"": ""subject"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": null}, {""choices"": null, ""default"": null, ""dest"": ""relation"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": null}]",True,False,False,False,[]
db-ingest,db-ingest,ingest an analysis artifact into the project database,,"[{""choices"": null, ""default"": null, ""dest"": ""database"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": ""_path""}, {""choices"": null, ""default"": null, ""dest"": ""artifact"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": ""_path""}, {""choices"": null, ""default"": 0, ""dest"": ""image_base"", ""help"": null, ""nargs"": null, ""option_strings"": [""--image-base""], ""required"": false, ""type"": ""_int""}]",True,False,False,False,[]
db-query,db-query,run a bounded read-only SQL query against the analysis database,,"[{""choices"": null, ""default"": null, ""dest"": ""database"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": ""_path""}, {""choices"": null, ""default"": null, ""dest"": ""sql"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": null}, {""choices"": null, ""default"": ""[]"", ""dest"": ""parameters_json"", ""help"": null, ""nargs"": null, ""option_strings"": [""--parameters-json""], ""required"": false, ""type"": null}]",True,False,False,False,[]
decompiler,decompiler,canonical decompiler capability commands,Canonical decompiler commands implemented by the current capability subsystem.,"[{""choices"": null, ""default"": ""."", ""dest"": ""project"", ""help"": ""project root used by the capability implementation (default: current directory)"", ""nargs"": null, ""option_strings"": [""--project""], ""required"": false, ""type"": null}, {""choices"": null, ""default"": ""analyst"", ""dest"": ""actor"", ""help"": null, ""nargs"": null, ""option_strings"": [""--actor""], ""required"": false, ""type"": null}]",True,True,False,False,[]
decompiler cleanup,cleanup,cleanup command,,"[{""choices"": null, ""default"": null, ""dest"": ""input_file"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": null}, {""choices"": null, ""default"": null, ""dest"": ""output"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": null}, {""choices"": null, ""default"": ""generic"", ""dest"": ""compiler"", ""help"": null, ""nargs"": null, ""option_strings"": [""--compiler""], ""required"": false, ""type"": null}, {""choices"": null, ""default"": ""cpp"", ""dest"": ""language"", ""help"": null, ""nargs"": null, ""option_strings"": [""--language""], ""required"": false, ""type"": null}, {""choices"": null, ""default"": false, ""dest"": ""locals_at_top"", ""help"": null, ""nargs"": 0, ""option_strings"": [""--locals-at-top""], ""required"": false, ""type"": null}]",True,False,False,False,[]
decompme-pack,decompme-pack,create a decomp.me-compatible packet from an artifact,,"[{""choices"": null, ""default"": null, ""dest"": ""artifact_dir"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": ""_path""}, {""choices"": null, ""default"": null, ""dest"": ""output_dir"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": ""_path""}, {""choices"": null, ""default"": false, ""dest"": ""overwrite"", ""help"": null, ""nargs"": 0, ""option_strings"": [""--overwrite""], ""required"": false, ""type"": null}]",True,False,False,False,[]
dependency-audit,dependency-audit,run an installed pip-audit adapter and preserve exact findings,,"[{""choices"": null, ""default"": ""pip-audit"", ""dest"": ""executable"", ""help"": null, ""nargs"": null, ""option_strings"": [""--executable""], ""required"": false, ""type"": null}, {""choices"": null, ""default"": 300, ""dest"": ""timeout"", ""help"": null, ""nargs"": null, ""option_strings"": [""--timeout""], ""required"": false, ""type"": ""int""}, {""choices"": null, ""default"": null, ""dest"": ""report"", ""help"": null, ""nargs"": null, ""option_strings"": [""--report""], ""required"": false, ""type"": ""_path""}]",True,False,False,False,[]
diff,diff,canonical diff capability commands,Canonical diff commands implemented by the current capability subsystem.,"[{""choices"": null, ""default"": ""."", ""dest"": ""project"", ""help"": ""project root used by the capability implementation (default: current directory)"", ""nargs"": null, ""option_strings"": [""--project""], ""required"": false, ""type"": null}, {""choices"": null, ""default"": ""analyst"", ""dest"": ""actor"", ""help"": null, ""nargs"": null, ""option_strings"": [""--actor""], ""required"": false, ""type"": null}]",True,True,False,False,[]
diff explain,explain,explain command,,"[{""choices"": null, ""default"": null, ""dest"": ""diff_report"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": null}, {""choices"": null, ""default"": null, ""dest"": ""source"", ""help"": null, ""nargs"": null, ""option_strings"": [""--source""], ""required"": false, ""type"": null}, {""choices"": null, ""default"": null, ""dest"": ""output"", ""help"": null, ""nargs"": null, ""option_strings"": [""--output""], ""required"": false, ""type"": null}]",True,False,False,False,[]
diff-bytes,diff-bytes,compare two files byte-for-byte with bounded mismatch reporting,,"[{""choices"": null, ""default"": null, ""dest"": ""target"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": ""_path""}, {""choices"": null, ""default"": null, ""dest"": ""candidate"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": ""_path""}, {""choices"": null, ""default"": null, ""dest"": ""report"", ""help"": null, ""nargs"": null, ""option_strings"": [""--report""], ""required"": false, ""type"": ""_path""}, {""choices"": null, ""default"": 64, ""dest"": ""max_mismatches"", ""help"": null, ""nargs"": null, ""option_strings"": [""--max-mismatches""], ""required"": false, ""type"": ""int""}]",True,False,False,False,[]
diff-function,diff-function,compare a linked PE function to a COFF symbol,,"[{""choices"": null, ""default"": null, ""dest"": ""pe"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": ""_path""}, {""choices"": null, ""default"": null, ""dest"": ""rva"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": ""_int""}, {""choices"": null, ""default"": null, ""dest"": ""size"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": ""_int""}, {""choices"": null, ""default"": null, ""dest"": ""coff"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": ""_path""}, {""choices"": null, ""default"": null, ""dest"": ""symbol"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": null}, {""choices"": null, ""default"": null, ""dest"": ""report"", ""help"": null, ""nargs"": null, ""option_strings"": [""--report""], ""required"": false, ""type"": ""_path""}]",True,False,False,False,[]
disassemble,disassemble,decode bounded machine-code instructions,,"[{""choices"": null, ""default"": null, ""dest"": ""code"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": ""_path""}, {""choices"": null, ""default"": 0, ""dest"": ""base"", ""help"": null, ""nargs"": null, ""option_strings"": [""--base""], ""required"": false, ""type"": ""_int""}, {""choices"": [""x86"", ""x86_64""], ""default"": ""x86"", ""dest"": ""architecture"", ""help"": null, ""nargs"": null, ""option_strings"": [""--architecture""], ""required"": false, ""type"": null}, {""choices"": null, ""default"": null, ""dest"": ""report"", ""help"": null, ""nargs"": null, ""option_strings"": [""--report""], ""required"": false, ""type"": ""_path""}]",True,False,False,False,[]
drcov-parse,drcov-parse,parse a DynamoRIO drcov coverage log,,"[{""choices"": null, ""default"": null, ""dest"": ""log"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": ""_path""}]",True,False,False,False,[]
drcov-run,drcov-run,run a target under DynamoRIO drcov tracing,,"[{""choices"": null, ""default"": null, ""dest"": ""executable"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": ""_path""}, {""choices"": null, ""default"": null, ""dest"": ""output_directory"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": ""_path""}, {""choices"": null, ""default"": null, ""dest"": ""drrun"", ""help"": null, ""nargs"": null, ""option_strings"": [""--drrun""], ""required"": false, ""type"": ""_path""}, {""choices"": null, ""default"": [], ""dest"": ""program_arg"", ""help"": null, ""nargs"": null, ""option_strings"": [""--program-arg""], ""required"": false, ""type"": null}, {""choices"": null, ""default"": 300, ""dest"": ""timeout"", ""help"": null, ""nargs"": null, ""option_strings"": [""--timeout""], ""required"": false, ""type"": ""int""}, {""choices"": null, ""default"": null, ""dest"": ""report"", ""help"": null, ""nargs"": null, ""option_strings"": [""--report""], ""required"": false, ""type"": ""_path""}]",True,False,False,False,[]
dynamic-validate,dynamic-validate,differentially execute and compare two binaries,,"[{""choices"": null, ""default"": null, ""dest"": ""target"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": ""_path""}, {""choices"": null, ""default"": null, ""dest"": ""candidate"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": ""_path""}, {""choices"": null, ""default"": null, ""dest"": ""harness"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": ""_path""}, {""choices"": null, ""default"": null, ""dest"": ""target_base"", ""help"": null, ""nargs"": null, ""option_strings"": [""--target-base""], ""required"": false, ""type"": ""_int""}, {""choices"": null, ""default"": null, ""dest"": ""candidate_base"", ""help"": null, ""nargs"": null, ""option_strings"": [""--candidate-base""], ""required"": false, ""type"": ""_int""}, {""choices"": null, ""default"": null, ""dest"": ""report"", ""help"": null, ""nargs"": null, ""option_strings"": [""--report""], ""required"": false, ""type"": ""_path""}]",True,False,False,False,[]
evidence-add,evidence-add,add a provenance-bearing evidence record to a project,,"[{""choices"": null, ""default"": null, ""dest"": ""project"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": ""_path""}, {""choices"": [""binary_bytes"", ""static_analysis"", ""dynamic_trace"", ""compiler_output"", ""debug_symbol"", ""external_document"", ""human_review""], ""default"": null, ""dest"": ""kind"", ""help"": null, ""nargs"": null, ""option_strings"": [""--kind""], ""required"": true, ""type"": null}, {""choices"": null, ""default"": null, ""dest"": ""source"", ""help"": null, ""nargs"": null, ""option_strings"": [""--source""], ""required"": true, ""type"": null}, {""choices"": null, ""default"": null, ""dest"": ""locator"", ""help"": null, ""nargs"": null, ""option_strings"": [""--locator""], ""required"": true, ""type"": null}, {""choices"": null, ""default"": null, ""dest"": ""assertion"", ""help"": null, ""nargs"": null, ""option_strings"": [""--assertion""], ""required"": true, ""type"": null}, {""choices"": null, ""default"": null, ""dest"": ""independent_group"", ""help"": null, ""nargs"": null, ""option_strings"": [""--independent-group""], ""required"": true, ""type"": null}, {""choices"": null, ""default"": null, ""dest"": ""file"", ""help"": null, ""nargs"": null, ""option_strings"": [""--file""], ""required"": false, ""type"": ""_path""}, {""choices"": null, ""default"": null, ""dest"": ""id"", ""help"": null, ""nargs"": null, ""option_strings"": [""--id""], ""required"": false, ""type"": null}]",True,False,False,False,[]
family,family,canonical family capability commands,Canonical family commands implemented by the current capability subsystem.,"[{""choices"": null, ""default"": ""."", ""dest"": ""project"", ""help"": ""project root used by the capability implementation (default: current directory)"", ""nargs"": null, ""option_strings"": [""--project""], ""required"": false, ""type"": null}, {""choices"": null, ""default"": ""analyst"", ""dest"": ""actor"", ""help"": null, ""nargs"": null, ""option_strings"": [""--actor""], ""required"": false, ""type"": null}]",True,True,False,False,[]
family add,add,add command,,"[{""choices"": null, ""default"": null, ""dest"": ""family_id"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": null}, {""choices"": null, ""default"": null, ""dest"": ""label"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": null}, {""choices"": null, ""default"": null, ""dest"": ""path"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": null}, {""choices"": null, ""default"": null, ""dest"": ""metadata_json"", ""help"": null, ""nargs"": null, ""option_strings"": [""--metadata-json""], ""required"": false, ""type"": null}]",True,False,False,False,[]
family correlate,correlate,correlate command,,"[{""choices"": null, ""default"": null, ""dest"": ""left_member_id"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": null}, {""choices"": null, ""default"": null, ""dest"": ""right_member_id"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": null}, {""choices"": null, ""default"": 64, ""dest"": ""block_size"", ""help"": null, ""nargs"": null, ""option_strings"": [""--block-size""], ""required"": false, ""type"": ""int""}]",True,False,False,False,[]
family create,create,create command,,"[{""choices"": null, ""default"": null, ""dest"": ""name"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": null}]",True,False,False,False,[]
family report,report,report command,,"[{""choices"": null, ""default"": null, ""dest"": ""family_id"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": null}]",True,False,False,False,[]
function,function,canonical function capability commands,Canonical function commands implemented by the current capability subsystem.,"[{""choices"": null, ""default"": ""."", ""dest"": ""project"", ""help"": ""project root used by the capability implementation (default: current directory)"", ""nargs"": null, ""option_strings"": [""--project""], ""required"": false, ""type"": null}, {""choices"": null, ""default"": ""analyst"", ""dest"": ""actor"", ""help"": null, ""nargs"": null, ""option_strings"": [""--actor""], ""required"": false, ""type"": null}]",True,True,False,False,[]
function classify,classify,classify command,,"[{""choices"": null, ""default"": null, ""dest"": ""functions_json"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": null}, {""choices"": null, ""default"": null, ""dest"": ""output"", ""help"": null, ""nargs"": null, ""option_strings"": [""--output""], ""required"": false, ""type"": null}]",True,False,False,False,[]
function discover,discover,discover command,,"[{""choices"": null, ""default"": null, ""dest"": ""image"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": null}, {""choices"": [""prologue"", ""ret-boundary""], ""default"": ""prologue"", ""dest"": ""profile"", ""help"": null, ""nargs"": null, ""option_strings"": [""--profile""], ""required"": false, ""type"": null}, {""choices"": [""x86"", ""x86_64""], ""default"": ""x86"", ""dest"": ""architecture"", ""help"": null, ""nargs"": null, ""option_strings"": [""--architecture""], ""required"": false, ""type"": null}, {""choices"": null, ""default"": 1, ""dest"": ""min_size"", ""help"": null, ""nargs"": null, ""option_strings"": [""--min-size""], ""required"": false, ""type"": ""int""}, {""choices"": null, ""default"": 1048576, ""dest"": ""max_size"", ""help"": null, ""nargs"": null, ""option_strings"": [""--max-size""], ""required"": false, ""type"": ""int""}, {""choices"": null, ""default"": 1, ""dest"": ""align"", ""help"": null, ""nargs"": null, ""option_strings"": [""--align""], ""required"": false, ""type"": ""int""}, {""choices"": null, ""default"": null, ""dest"": ""output"", ""help"": null, ""nargs"": null, ""option_strings"": [""--output""], ""required"": false, ""type"": null}]",True,False,False,False,[]
function reconcile,reconcile,reconcile command,,"[{""choices"": null, ""default"": null, ""dest"": ""reports"", ""help"": null, ""nargs"": ""+"", ""option_strings"": [], ""required"": true, ""type"": null}, {""choices"": null, ""default"": null, ""dest"": ""output"", ""help"": null, ""nargs"": null, ""option_strings"": [""--output""], ""required"": false, ""type"": null}]",True,False,False,False,[]
function sort,sort,sort command,,"[{""choices"": null, ""default"": null, ""dest"": ""functions_json"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": null}, {""choices"": null, ""default"": ""rva"", ""dest"": ""key"", ""help"": null, ""nargs"": null, ""option_strings"": [""--key""], ""required"": false, ""type"": null}, {""choices"": null, ""default"": null, ""dest"": ""output"", ""help"": null, ""nargs"": null, ""option_strings"": [""--output""], ""required"": false, ""type"": null}]",True,False,False,False,[]
game-pattern,game-pattern,canonical game-pattern capability commands,Canonical game-pattern commands implemented by the current capability subsystem.,"[{""choices"": null, ""default"": ""."", ""dest"": ""project"", ""help"": ""project root used by the capability implementation (default: current directory)"", ""nargs"": null, ""option_strings"": [""--project""], ""required"": false, ""type"": null}, {""choices"": null, ""default"": ""analyst"", ""dest"": ""actor"", ""help"": null, ""nargs"": null, ""option_strings"": [""--actor""], ""required"": false, ""type"": null}]",True,True,False,False,[]
game-pattern state-machine,state-machine,state-machine command,,"[{""choices"": null, ""default"": null, ""dest"": ""root"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": null}, {""choices"": null, ""default"": null, ""dest"": ""output"", ""help"": null, ""nargs"": null, ""option_strings"": [""--output""], ""required"": false, ""type"": null}]",True,False,False,False,[]
ghidra-export,ghidra-export,run the bundled Ghidra export workflow,,"[{""choices"": null, ""default"": null, ""dest"": ""binary"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": ""_path""}, {""choices"": null, ""default"": null, ""dest"": ""ghidra_project_dir"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": ""_path""}, {""choices"": null, ""default"": null, ""dest"": ""ghidra_project_name"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": null}, {""choices"": null, ""default"": null, ""dest"": ""output_dir"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": ""_path""}, {""choices"": null, ""default"": ""ghidra_scripts"", ""dest"": ""scripts_dir"", ""help"": null, ""nargs"": null, ""option_strings"": [""--scripts-dir""], ""required"": false, ""type"": ""_path""}, {""choices"": null, ""default"": null, ""dest"": ""ghidra_home"", ""help"": null, ""nargs"": null, ""option_strings"": [""--ghidra-home""], ""required"": false, ""type"": ""_path""}, {""choices"": null, ""default"": false, ""dest"": ""overwrite"", ""help"": null, ""nargs"": 0, ""option_strings"": [""--overwrite""], ""required"": false, ""type"": null}, {""choices"": null, ""default"": ""all"", ""dest"": ""selector"", ""help"": null, ""nargs"": null, ""option_strings"": [""--selector""], ""required"": false, ""type"": null}, {""choices"": null, ""default"": 3600, ""dest"": ""timeout"", ""help"": null, ""nargs"": null, ""option_strings"": [""--timeout""], ""required"": false, ""type"": ""int""}, {""choices"": null, ""default"": null, ""dest"": ""report"", ""help"": null, ""nargs"": null, ""option_strings"": [""--report""], ""required"": false, ""type"": ""_path""}, {""choices"": null, ""default"": false, ""dest"": ""print_command"", ""help"": null, ""nargs"": 0, ""option_strings"": [""--print-command""], ""required"": false, ""type"": null}]",True,False,False,False,[]
ghidra-mcp,ghidra-mcp,canonical ghidra-mcp capability commands,Canonical ghidra-mcp commands implemented by the current capability subsystem.,"[{""choices"": null, ""default"": ""."", ""dest"": ""project"", ""help"": ""project root used by the capability implementation (default: current directory)"", ""nargs"": null, ""option_strings"": [""--project""], ""required"": false, ""type"": null}, {""choices"": null, ""default"": ""analyst"", ""dest"": ""actor"", ""help"": null, ""nargs"": null, ""option_strings"": [""--actor""], ""required"": false, ""type"": null}]",True,True,False,False,[]
ghidra-mcp batch-decompile,batch-decompile,batch-decompile command,,"[{""choices"": null, ""default"": null, ""dest"": ""url"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": null}, {""choices"": null, ""default"": null, ""dest"": ""addresses"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": null}, {""choices"": null, ""default"": null, ""dest"": ""output"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": null}, {""choices"": null, ""default"": 60.0, ""dest"": ""timeout"", ""help"": null, ""nargs"": null, ""option_strings"": [""--timeout""], ""required"": false, ""type"": ""float""}]",True,False,False,False,[]
ghidra-mcp decompile,decompile,decompile command,,"[{""choices"": null, ""default"": null, ""dest"": ""url"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": null}, {""choices"": null, ""default"": null, ""dest"": ""address"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": null}, {""choices"": null, ""default"": 60.0, ""dest"": ""timeout"", ""help"": null, ""nargs"": null, ""option_strings"": [""--timeout""], ""required"": false, ""type"": ""float""}, {""choices"": null, ""default"": null, ""dest"": ""output"", ""help"": null, ""nargs"": null, ""option_strings"": [""--output""], ""required"": false, ""type"": null}]",True,False,False,False,[]
ghidra-mcp functions,functions,functions command,,"[{""choices"": null, ""default"": null, ""dest"": ""url"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": null}, {""choices"": null, ""default"": 30.0, ""dest"": ""timeout"", ""help"": null, ""nargs"": null, ""option_strings"": [""--timeout""], ""required"": false, ""type"": ""float""}, {""choices"": null, ""default"": null, ""dest"": ""output"", ""help"": null, ""nargs"": null, ""option_strings"": [""--output""], ""required"": false, ""type"": null}]",True,False,False,False,[]
ghidra-mcp probe,probe,probe command,,"[{""choices"": null, ""default"": null, ""dest"": ""url"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": null}, {""choices"": null, ""default"": 5.0, ""dest"": ""timeout"", ""help"": null, ""nargs"": null, ""option_strings"": [""--timeout""], ""required"": false, ""type"": ""float""}, {""choices"": null, ""default"": null, ""dest"": ""output"", ""help"": null, ""nargs"": null, ""option_strings"": [""--output""], ""required"": false, ""type"": null}]",True,False,False,False,[]
ghidra-mcp sync-names,sync-names,sync-names command,,"[{""choices"": null, ""default"": null, ""dest"": ""names_json"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": null}, {""choices"": null, ""default"": null, ""dest"": ""output"", ""help"": null, ""nargs"": null, ""option_strings"": [""--output""], ""required"": false, ""type"": null}]",True,False,False,False,[]
graph,graph,canonical graph capability commands,Canonical graph commands implemented by the current capability subsystem.,"[{""choices"": null, ""default"": ""."", ""dest"": ""project"", ""help"": ""project root used by the capability implementation (default: current directory)"", ""nargs"": null, ""option_strings"": [""--project""], ""required"": false, ""type"": null}, {""choices"": null, ""default"": ""analyst"", ""dest"": ""actor"", ""help"": null, ""nargs"": null, ""option_strings"": [""--actor""], ""required"": false, ""type"": null}]",True,True,False,False,[]
