command,name,help,description,arguments_json,has_help,has_description,mentioned_in_docs,example_in_code_block,safety_flags
asm annotate,annotate,annotate command,,"[{""choices"": null, ""default"": null, ""dest"": ""source"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": null}, {""choices"": null, ""default"": null, ""dest"": ""output"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": null}, {""choices"": null, ""default"": null, ""dest"": ""symbol"", ""help"": null, ""nargs"": null, ""option_strings"": [""--symbol""], ""required"": true, ""type"": null}, {""choices"": null, ""default"": null, ""dest"": ""rva"", ""help"": null, ""nargs"": null, ""option_strings"": [""--rva""], ""required"": true, ""type"": ""_int""}, {""choices"": null, ""default"": 0, ""dest"": ""image_base"", ""help"": null, ""nargs"": null, ""option_strings"": [""--image-base""], ""required"": false, ""type"": ""_int""}, {""choices"": [""x86"", ""x86_64""], ""default"": ""x86"", ""dest"": ""architecture"", ""help"": null, ""nargs"": null, ""option_strings"": [""--architecture""], ""required"": false, ""type"": null}]",True,False,False,False,[]
asm batch,batch,batch command,,"[{""choices"": null, ""default"": null, ""dest"": ""manifest"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": null}, {""choices"": null, ""default"": null, ""dest"": ""output"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": null}, {""choices"": [""bytes"", ""annotated"", ""mnemonic""], ""default"": ""bytes"", ""dest"": ""asm_format"", ""help"": null, ""nargs"": null, ""option_strings"": [""--format""], ""required"": false, ""type"": null}, {""choices"": null, ""default"": null, ""dest"": ""assembler_command_json"", ""help"": null, ""nargs"": null, ""option_strings"": [""--assembler-command-json""], ""required"": false, ""type"": null}, {""choices"": null, ""default"": null, ""dest"": ""image_base"", ""help"": null, ""nargs"": null, ""option_strings"": [""--image-base""], ""required"": false, ""type"": ""_int""}]",True,False,False,False,[]
asm list,list,list command,,[],True,False,False,False,[]
asm materialize,materialize,materialize command,,"[{""choices"": null, ""default"": null, ""dest"": ""input"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": null}, {""choices"": null, ""default"": null, ""dest"": ""output_source"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": null}, {""choices"": null, ""default"": null, ""dest"": ""output_object"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": null}, {""choices"": null, ""default"": null, ""dest"": ""output_resolved"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": null}, {""choices"": [""bytes"", ""assembly""], ""default"": ""bytes"", ""dest"": ""input_kind"", ""help"": null, ""nargs"": null, ""option_strings"": [""--input-kind""], ""required"": false, ""type"": null}, {""choices"": null, ""default"": null, ""dest"": ""symbol"", ""help"": null, ""nargs"": null, ""option_strings"": [""--symbol""], ""required"": true, ""type"": null}, {""choices"": null, ""default"": null, ""dest"": ""rva"", ""help"": null, ""nargs"": null, ""option_strings"": [""--rva""], ""required"": true, ""type"": ""_int""}, {""choices"": null, ""default"": 0, ""dest"": ""image_base"", ""help"": null, ""nargs"": null, ""option_strings"": [""--image-base""], ""required"": false, ""type"": ""_int""}, {""choices"": [""x86"", ""x86_64""], ""default"": ""x86"", ""dest"": ""architecture"", ""help"": null, ""nargs"": null, ""option_strings"": [""--architecture""], ""required"": false, ""type"": null}, {""choices"": null, ""default"": null, ""dest"": ""symbol_map"", ""help"": null, ""nargs"": null, ""option_strings"": [""--symbol-map""], ""required"": true, ""type"": null}, {""choices"": null, ""default"": null, ""dest"": ""assembler_command_json"", ""help"": null, ""nargs"": null, ""option_strings"": [""--assembler-command-json""], ""required"": false, ""type"": null}, {""choices"": null, ""default"": 60, ""dest"": ""timeout"", ""help"": null, ""nargs"": null, ""option_strings"": [""--timeout""], ""required"": false, ""type"": ""int""}, {""choices"": null, ""default"": null, ""dest"": ""report"", ""help"": null, ""nargs"": null, ""option_strings"": [""--report""], ""required"": false, ""type"": null}]",True,False,False,False,[]
asm report,report,report command,,"[{""choices"": null, ""default"": null, ""dest"": ""run_id"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": null}]",True,False,False,False,[]
asm verify-roundtrip,verify-roundtrip,verify-roundtrip command,,"[{""choices"": null, ""default"": null, ""dest"": ""source"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": null}, {""choices"": null, ""default"": null, ""dest"": ""original"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": null}, {""choices"": null, ""default"": null, ""dest"": ""output_object"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": null}, {""choices"": null, ""default"": null, ""dest"": ""output_resolved"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": null}, {""choices"": null, ""default"": null, ""dest"": ""symbol"", ""help"": null, ""nargs"": null, ""option_strings"": [""--symbol""], ""required"": true, ""type"": null}, {""choices"": null, ""default"": null, ""dest"": ""rva"", ""help"": null, ""nargs"": null, ""option_strings"": [""--rva""], ""required"": true, ""type"": ""_int""}, {""choices"": null, ""default"": 0, ""dest"": ""image_base"", ""help"": null, ""nargs"": null, ""option_strings"": [""--image-base""], ""required"": false, ""type"": ""_int""}, {""choices"": [""x86"", ""x86_64""], ""default"": ""x86"", ""dest"": ""architecture"", ""help"": null, ""nargs"": null, ""option_strings"": [""--architecture""], ""required"": false, ""type"": null}, {""choices"": null, ""default"": null, ""dest"": ""symbol_map"", ""help"": null, ""nargs"": null, ""option_strings"": [""--symbol-map""], ""required"": true, ""type"": null}, {""choices"": null, ""default"": null, ""dest"": ""assembler_command_json"", ""help"": null, ""nargs"": null, ""option_strings"": [""--assembler-command-json""], ""required"": false, ""type"": null}, {""choices"": null, ""default"": 60, ""dest"": ""timeout"", ""help"": null, ""nargs"": null, ""option_strings"": [""--timeout""], ""required"": false, ""type"": ""int""}, {""choices"": null, ""default"": null, ""dest"": ""report"", ""help"": null, ""nargs"": null, ""option_strings"": [""--report""], ""required"": false, ""type"": null}]",True,False,False,False,[]
asset,asset,canonical asset capability commands,Canonical asset commands implemented by the current capability subsystem.,"[{""choices"": null, ""default"": ""."", ""dest"": ""project"", ""help"": ""project root used by the capability implementation (default: current directory)"", ""nargs"": null, ""option_strings"": [""--project""], ""required"": false, ""type"": null}, {""choices"": null, ""default"": ""analyst"", ""dest"": ""actor"", ""help"": null, ""nargs"": null, ""option_strings"": [""--actor""], ""required"": false, ""type"": null}]",True,True,False,False,[]
asset inventory,inventory,inventory command,,"[{""choices"": null, ""default"": null, ""dest"": ""root"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": null}, {""choices"": null, ""default"": null, ""dest"": ""output"", ""help"": null, ""nargs"": null, ""option_strings"": [""--output""], ""required"": false, ""type"": null}]",True,False,False,False,[]
benchmark-run,benchmark-run,run a declared benchmark corpus and emit measured results,,"[{""choices"": null, ""default"": null, ""dest"": ""manifest"", ""help"": null, ""nargs"": null, ""option_strings"": [], ""required"": true, ""type"": ""_path""}, {""choices"": null, ""default"": null, ""dest"": ""report"", ""help"": null, ""nargs"": null, ""option_strings"": [""--report""], ""required"": false, ""type"": ""_path""}]",True,False,False,False,[]
boundary,boundary,canonical boundary capability commands,Canonical boundary commands implemented by the current capability subsystem.,"[{""choices"": null, ""default"": ""."", ""dest"": ""project"", ""help"": ""project root used by the capability implementation (default: current directory)"", ""nargs"": null, ""option_strings"": [""--project""], ""required"": false, ""type"": null}, {""choices"": null, ""default"": ""analyst"", ""dest"": ""actor"", ""help"": null, ""nargs"": null, ""option_strings"": [""--actor""], ""required"": false, ""type"": null}]",True,True,False,False,[]
